problem,convex,direction,reference algorithm,inverse_hessian,size_factor,point set limit,iterations,closure calls,status,f(x0),f final,f*,f* source,rel gap,effective tol,final radius
maxq,True,gradient,SVANO-BFGS,dense,0.05,2,257,648,objective_similarity,2500.0,6.789185994751358e-05,0.0,closed form,6.789185994751358e-05,0.01,0.0001
maxq,True,gradient,SVANO-BFGS,dense,0.4,20,257,648,objective_similarity,2500.0,6.789185994751358e-05,0.0,closed form,6.789185994751358e-05,0.01,0.0001
maxq,True,gradient,SVANO-BFGS,dense,2.0,100,257,648,objective_similarity,2500.0,6.789185994751358e-05,0.0,closed form,6.789185994751358e-05,0.01,0.0001
maxq,True,gradient,SVANO-BFGS,limited_memory,0.05,2,251,896,stationary,2500.0,2.3238180894994344e-05,0.0,closed form,2.3238180894994344e-05,0.01,0.0001
maxq,True,gradient,SVANO-BFGS,limited_memory,0.4,20,251,896,stationary,2500.0,2.3238180894994344e-05,0.0,closed form,2.3238180894994344e-05,0.01,0.0001
maxq,True,gradient,SVANO-BFGS,limited_memory,2.0,100,251,896,stationary,2500.0,2.3238180894994344e-05,0.0,closed form,2.3238180894994344e-05,0.01,0.0001
maxq,True,cutting_plane,SVANO-Bundle,dense,0.05,2,257,908,objective_similarity,2500.0,6.789185994751358e-05,0.0,closed form,6.789185994751358e-05,0.01,0.0001
maxq,True,cutting_plane,SVANO-Bundle,dense,0.4,20,257,908,objective_similarity,2500.0,6.789185994751358e-05,0.0,closed form,6.789185994751358e-05,0.01,0.0001
maxq,True,cutting_plane,SVANO-Bundle,dense,2.0,100,257,908,objective_similarity,2500.0,6.789185994751358e-05,0.0,closed form,6.789185994751358e-05,0.01,0.0001
maxq,True,cutting_plane,SVANO-Bundle,limited_memory,0.05,2,251,1152,stationary,2500.0,2.3238180894994344e-05,0.0,closed form,2.3238180894994344e-05,0.01,0.0001
maxq,True,cutting_plane,SVANO-Bundle,limited_memory,0.4,20,251,1152,stationary,2500.0,2.3238180894994344e-05,0.0,closed form,2.3238180894994344e-05,0.01,0.0001
maxq,True,cutting_plane,SVANO-Bundle,limited_memory,2.0,100,251,1152,stationary,2500.0,2.3238180894994344e-05,0.0,closed form,2.3238180894994344e-05,0.01,0.0001
maxq,True,gradient_combination,SVANO-GS,dense,0.05,2,264,1010,objective_similarity,2500.0,0.000127437096870225,0.0,closed form,0.000127437096870225,0.01,0.0001
maxq,True,gradient_combination,SVANO-GS,dense,0.4,20,264,1010,objective_similarity,2500.0,0.000127437096870225,0.0,closed form,0.000127437096870225,0.01,0.0001
