problem,direction,iteration,calls,f,gap
maxq,gradient,1,3,2401.0,2401.0
maxq,gradient,2,5,2305.9204000000004,2305.9204000000004
maxq,gradient,3,6,2304.0,2304.0
maxq,gradient,4,8,2209.0,2209.0
maxq,gradient,5,13,2116.0,2116.0
maxq,gradient,6,18,2040.5720200262044,2040.5720200262044
maxq,gradient,7,19,2025.0,2025.0
maxq,gradient,8,21,1936.0,1936.0
maxq,gradient,9,24,1849.0,1849.0
maxq,gradient,10,28,1764.0,1764.0
maxq,gradient,11,35,1759.4448131673082,1759.4448131673082
maxq,gradient,12,36,1681.0,1681.0
maxq,gradient,13,38,1600.0,1600.0
maxq,gradient,14,40,1577.437513169065,1577.437513169065
maxq,gradient,15,41,1521.0,1521.0
maxq,gradient,16,43,1444.0,1444.0
maxq,gradient,17,47,1375.7791313850537,1375.7791313850537
maxq,gradient,18,48,1369.0,1369.0
maxq,gradient,19,50,1296.0,1296.0
maxq,gradient,20,54,1225.0,1225.0
maxq,gradient,21,59,1156.0,1156.0
maxq,gradient,22,71,1155.93423806949,1155.93423806949
maxq,gradient,23,77,1089.0,1089.0
maxq,gradient,24,81,1024.0,1024.0
maxq,gradient,25,87,985.419172180828,985.419172180828
maxq,gradient,26,88,961.0,961.0
maxq,gradient,27,90,900.0,900.0
maxq,gradient,28,93,841.0,841.0
maxq,gradient,29,97,784.0,784.0
maxq,gradient,30,103,737.3874304363864,737.3874304363864
maxq,gradient,31,110,735.0746393255852,735.0746393255852
maxq,gradient,32,111,729.0,729.0
maxq,gradient,33,112,676.0,676.0
maxq,gradient,34,115,625.0,625.0
maxq,gradient,35,119,576.0,576.0
maxq,gradient,36,124,529.0,529.0
maxq,gradient,37,131,515.5642897035556,515.5642897035556
maxq,gradient,38,132,484.0,484.0
maxq,gradient,39,141,483.51854050480034,483.51854050480034
maxq,gradient,40,148,441.0,441.0
maxq,gradient,41,152,418.88437910654795,418.88437910654795
maxq,gradient,42,158,418.81657050598255,418.81657050598255
maxq,gradient,43,160,400.0,400.0
maxq,gradient,44,165,379.1103587178423,379.1103587178423
maxq,gradient,45,166,361.0,361.0
maxq,gradient,46,168,349.4340135604987,349.4340135604987
maxq,gradient,47,169,324.0,324.0
maxq,gradient,48,173,323.5799857168885,323.5799857168885
maxq,gradient,49,175,289.0,289.0
maxq,gradient,50,180,256.0,256.0
maxq,gradient,51,188,254.9984392912609,254.9984392912609
maxq,gradient,52,195,225.0,225.0
maxq,gradient,53,198,196.0,196.0
maxq,gradient,54,202,169.0,169.0
maxq,gradient,55,209,164.9865008851364,164.9865008851364
maxq,gradient,56,210,144.0,144.0
maxq,gradient,57,215,143.8581281306122,143.8581281306122
maxq,gradient,58,216,121.0,121.0
maxq,gradient,59,219,100.0,100.0
maxq,gradient,60,225,95.12547843183789,95.12547843183789
maxq,gradient,61,226,81.0,81.0
maxq,gradient,62,229,77.06929531781184,77.06929531781184
maxq,gradient,63,232,64.38426524903949,64.38426524903949
maxq,gradient,64,236,64.0,64.0
maxq,gradient,65,240,53.83415654126536,53.83415654126536
maxq,gradient,66,242,51.601544021765136,51.601544021765136
maxq,gradient,67,243,49.0,49.0
maxq,gradient,68,246,43.49473005145305,43.49473005145305
maxq,gradient,69,248,41.6361937734298,41.6361937734298
maxq,gradient,70,255,41.32609767167419,41.32609767167419
maxq,gradient,71,256,36.0,36.0
maxq,gradient,72,258,28.75649099573684,28.75649099573684
maxq,gradient,73,261,25.0,25.0
maxq,gradient,74,265,20.596632158214398,20.596632158214398
maxq,gradient,75,270,20.131985633342705,20.131985633342705
maxq,gradient,76,272,19.239577981457256,19.239577981457256
maxq,gradient,77,274,16.506809942437688,16.506809942437688
maxq,gradient,78,276,16.0,16.0
maxq,gradient,79,280,13.67789102245886,13.67789102245886
maxq,gradient,80,286,12.808988980198698,12.808988980198698
maxq,gradient,81,287,9.0,9.0
maxq,gradient,82,292,8.664581906906921,8.664581906906921
maxq,gradient,83,295,8.46865232933315,8.46865232933315
maxq,gradient,84,300,8.106307423167307,8.106307423167307
maxq,gradient,85,302,7.698647804243604,7.698647804243604
maxq,gradient,86,304,7.416654395043461,7.416654395043461
maxq,gradient,87,308,7.072464574620348,7.072464574620348
maxq,gradient,88,313,6.587270410751355,6.587270410751355
maxq,gradient,89,314,5.407834286665608,5.407834286665608
maxq,gradient,90,316,5.282434816910798,5.282434816910798
maxq,gradient,91,322,5.246682471849221,5.246682471849221
maxq,gradient,92,323,5.141830190080647,5.141830190080647
maxq,gradient,93,326,4.8315908402199526,4.8315908402199526
maxq,gradient,94,328,4.820170601472514,4.820170601472514
maxq,gradient,95,330,4.0,4.0
maxq,gradient,96,334,3.978216541064069,3.978216541064069
maxq,gradient,97,338,3.8973586633790984,3.8973586633790984
maxq,gradient,98,343,3.539955054533894,3.539955054533894
maxq,gradient,99,350,3.4669142931446975,3.4669142931446975
maxq,gradient,100,356,3.257404385374674,3.257404385374674
maxq,gradient,101,361,3.2241522125878217,3.2241522125878217
maxq,gradient,102,362,2.3383781025318475,2.3383781025318475
maxq,gradient,103,364,2.308396829260351,2.308396829260351
maxq,gradient,104,367,2.068390037267287,2.068390037267287
maxq,gradient,105,370,1.7843413470336191,1.7843413470336191
maxq,gradient,106,374,1.7738932970205834,1.7738932970205834
maxq,gradient,107,376,1.7721148451815736,1.7721148451815736
maxq,gradient,108,378,1.7108334434445807,1.7108334434445807
maxq,gradient,109,385,1.7021619587809407,1.7021619587809407
maxq,gradient,110,386,1.570882187487444,1.570882187487444
maxq,gradient,111,390,1.4685080996252902,1.4685080996252902
maxq,gradient,112,396,1.4520090599796789,1.4520090599796789
maxq,gradient,113,397,1.4073076854182078,1.4073076854182078
maxq,gradient,114,399,1.3997266734650777,1.3997266734650777
maxq,gradient,115,401,1.3017272718288906,1.3017272718288906
maxq,gradient,116,406,1.2777070842731197,1.2777070842731197
maxq,gradient,117,413,1.2771697836230713,1.2771697836230713
maxq,gradient,118,414,1.2418995296691624,1.2418995296691624
maxq,gradient,119,416,1.088118999698487,1.088118999698487
maxq,gradient,120,417,1.0,1.0
maxq,gradient,121,429,0.9999839666645034,0.9999839666645034
maxq,gradient,122,439,0.9499640672203977,0.9499640672203977
maxq,gradient,123,442,0.75817425832573,0.75817425832573
maxq,gradient,124,444,0.7434134385909676,0.7434134385909676
maxq,gradient,125,446,0.647732629848783,0.647732629848783
maxq,gradient,126,449,0.5270404066524069,0.5270404066524069
maxq,gradient,127,454,0.4455690961371143,0.4455690961371143
maxq,gradient,128,455,0.42636608106243024,0.42636608106243024
maxq,gradient,129,457,0.3527541921082748,0.3527541921082748
maxq,gradient,130,459,0.3435457573042369,0.3435457573042369
maxq,gradient,131,470,0.3432746900459219,0.3432746900459219
maxq,gradient,132,477,0.2133580024656644,0.2133580024656644
maxq,gradient,133,479,0.20127161327526716,0.20127161327526716
maxq,gradient,134,485,0.20101727185752571,0.20101727185752571
maxq,gradient,135,486,0.17260258546068158,0.17260258546068158
maxq,gradient,136,492,0.1681034669972923,0.1681034669972923
maxq,gradient,137,493,0.16408324308067124,0.16408324308067124
maxq,gradient,138,500,0.1638151862216727,0.1638151862216727
maxq,gradient,139,501,0.15424175315265307,0.15424175315265307
maxq,gradient,140,503,0.12333726055708728,0.12333726055708728
maxq,gradient,141,508,0.12089296188885133,0.12089296188885133
maxq,gradient,142,513,0.11898317648925667,0.11898317648925667
maxq,gradient,143,520,0.11755543702417909,0.11755543702417909
maxq,gradient,144,521,0.10935094068648434,0.10935094068648434
maxq,gradient,145,525,0.10870938080098563,0.10870938080098563
maxq,gradient,146,526,0.08976344955672154,0.08976344955672154
maxq,gradient,147,530,0.08173500665064067,0.08173500665064067
maxq,gradient,148,536,0.07506642014092775,0.07506642014092775
