per-rank batch,pooled batch,steps,constraint,method,surrogate linear in c,duals identical across ranks,dual gap vs 1x pooled,param gap vs 1x pooled,dual at bound,state_dict round-trips
16,32,1,mean,ALM (rho=0),True,True,0.0,2.5781323219456725e-17,False,True
16,32,1,mean,ALM (rho=1),False,True,0.0,0.00041571892294950174,False,True
16,32,1,mean,nuPI,True,True,0.0,2.5781323219456725e-17,False,True
16,32,1,mean,iALM,False,True,0.0,0.00041571892294950174,False,True
16,32,1,mean,PBM,False,True,0.0,4.143622785815453e-08,False,True
16,32,1,ratio,ALM (rho=0),True,True,0.0009347710996843848,0.002613857587862458,False,True
16,32,1,ratio,ALM (rho=1),False,True,0.0009347710996843848,0.002613857587862458,False,True
16,32,1,ratio,nuPI,True,True,0.0009347710996843848,0.002613857587862458,False,True
16,32,1,ratio,iALM,False,True,0.015209468129442775,0.002613857587862458,False,True
16,32,1,ratio,PBM,False,True,0.0,6.214224697117093e-07,True,True
16,32,20,mean,ALM (rho=0),True,True,0.0,9.218799669005198e-17,False,True
16,32,20,mean,ALM (rho=1),False,True,3.476596537010642e-06,0.0021479257851395104,False,True
16,32,20,mean,nuPI,True,True,0.0,2.3061941766584033e-17,False,True
16,32,20,mean,iALM,False,True,3.878810663007443e-05,0.001753305334095138,False,True
16,32,20,mean,PBM,False,True,1.914793975328757e-08,7.527963940291365e-07,False,True
16,32,20,ratio,ALM (rho=0),True,True,0.0,0.009051494325623343,True,True
16,32,20,ratio,ALM (rho=1),False,True,0.0,0.009051494325623343,True,True
16,32,20,ratio,nuPI,True,True,0.0,0.008726142076434941,True,True
16,32,20,ratio,iALM,False,True,0.0,0.0015460737288625242,True,True
16,32,20,ratio,PBM,False,True,0.0,5.450162047476127e-06,True,True
64,128,1,mean,ALM (rho=0),True,True,0.0,0.0,False,True
64,128,1,mean,ALM (rho=1),False,True,0.0,4.000032669974179e-06,False,True
64,128,1,mean,nuPI,True,True,0.0,0.0,False,True
64,128,1,mean,iALM,False,True,1.8002755181435337e-16,4.000032669974179e-06,False,True
64,128,1,mean,PBM,False,True,0.0,3.9928154171655996e-10,False,True
64,128,1,ratio,ALM (rho=0),True,True,3.3522522084528254e-05,0.0006546949389443023,False,True
64,128,1,ratio,ALM (rho=1),False,True,3.3522522084528254e-05,0.0006546949389443023,False,True
64,128,1,ratio,nuPI,True,True,3.3522522084528254e-05,0.0006546949389443023,False,True
64,128,1,ratio,iALM,False,True,0.0005012907213555199,0.0006546949389443023,False,True
64,128,1,ratio,PBM,False,True,0.0,1.1743679047564689e-07,True,True
64,128,20,mean,ALM (rho=0),True,True,0.0,6.089867175640016e-17,False,True
64,128,20,mean,ALM (rho=1),False,True,2.167201109693565e-06,0.00012192801439229655,False,True
64,128,20,mean,nuPI,True,True,3.33254418704855e-16,1.2184179646207475e-16,False,True
64,128,20,mean,iALM,False,True,6.3573546518608305e-06,0.00011794478467924822,False,True
64,128,20,mean,PBM,False,True,1.7950421862416135e-08,1.468814857682236e-07,False,True
64,128,20,ratio,ALM (rho=0),True,True,0.009132589442388248,0.004138494023956663,False,True
64,128,20,ratio,ALM (rho=1),False,True,0.009132589442388248,0.004138494023956663,False,True
64,128,20,ratio,nuPI,True,True,0.011382837098587038,0.004073129580650929,False,True
64,128,20,ratio,iALM,False,True,0.0,0.000628125414941481,True,True
64,128,20,ratio,PBM,False,True,0.0,1.3797523508984725e-06,True,True
256,512,1,mean,ALM (rho=0),True,True,0.0,5.1996078924388535e-17,False,True
256,512,1,mean,ALM (rho=1),False,True,0.0,2.292948556973932e-05,False,True
256,512,1,mean,nuPI,True,True,0.0,5.1996078924388535e-17,False,True
256,512,1,mean,iALM,False,True,1.6767248805856696e-16,2.292948556973932e-05,False,True
256,512,1,mean,PBM,False,True,0.0,2.2817999617679583e-09,False,True
256,512,1,ratio,ALM (rho=0),True,True,3.436377659763466e-05,6.956209457345513e-05,False,True
256,512,1,ratio,ALM (rho=1),False,True,3.436377659763466e-05,6.956209457345513e-05,False,True
256,512,1,ratio,nuPI,True,True,3.436377659763466e-05,6.956209457345513e-05,False,True
256,512,1,ratio,iALM,False,True,0.0006208280321783999,6.956209457345513e-05,False,True
256,512,1,ratio,PBM,False,True,0.0,1.095169396242125e-08,True,True
256,512,20,mean,ALM (rho=0),True,True,0.0,1.8902161555240033e-16,False,True
256,512,20,mean,ALM (rho=1),False,True,1.2427041979955065e-05,0.0001785299890056578,False,True
256,512,20,mean,nuPI,True,True,0.0,1.8906358169888437e-16,False,True
256,512,20,mean,iALM,False,True,2.7961714545112358e-05,0.00010596191598732584,False,True
256,512,20,mean,PBM,False,True,2.25889215510484e-07,6.969839456786486e-07,False,True
256,512,20,ratio,ALM (rho=0),True,True,0.0,0.0003835976778128732,True,True
256,512,20,ratio,ALM (rho=1),False,True,0.0,0.0003835976778128732,True,True
256,512,20,ratio,nuPI,True,True,0.0,0.00037768447256626025,True,True
256,512,20,ratio,iALM,False,True,0.0,8.293003625447235e-05,True,True
256,512,20,ratio,PBM,False,True,0.0,2.6627337125124243e-07,True,True
